account_id,customer_name,device_id,ip_address,shipping_address,payment_method_fingerprint,account_age_days,refund_probability,account_type,household_id,is_fraud_ring,ring_id,scenario_type,created_date
ACC0001,Lipika Baral,DEV1409,38.128.75.46,Ambattur,PMF3286,340,0.064,household,HOUSE_de6e5d,0,,household,2025-09-29
ACC0002,Qushi Biswas,DEV1409,38.128.75.46,Ambattur,PMF7912,648,0.022,household,HOUSE_de6e5d,0,,household,2024-11-25
ACC0003,Vyanjana Sandhu,DEV1409,38.128.75.46,Ambattur,PMF4811,185,0.05,household,HOUSE_de6e5d,0,,household,2026-03-03
ACC0004,Unni Chahal,DEV1409,38.128.75.46,Ambattur,PMF9928,117,0.045,household,HOUSE_de6e5d,0,,household,2026-05-10
ACC0005,Max Boase,DEV3615,87.129.114.226,Bilaspur,PMF3547,438,0.033,household,HOUSE_51aba8,0,,household,2025-06-23
ACC0006,Aarav Hari,DEV1106,87.129.114.226,Bilaspur,PMF2519,434,0.043,household,HOUSE_51aba8,0,,household,2025-06-27
ACC0007,Mohini Bedi,DEV3615,87.129.114.226,Bilaspur,PMF5333,457,0.068,household,HOUSE_51aba8,0,,household,2025-06-04
ACC0008,Ikshita Pandit,DEV7201,83.119.57.102,Tiruvottiyur,PMF5803,170,0.07,household,HOUSE_f96cce,0,,household,2026-03-18
ACC0009,Gagan Devi,DEV3045,83.119.57.102,Tiruvottiyur,PMF4150,723,0.062,household,HOUSE_f96cce,0,,household,2024-09-11
ACC0010,Advay Babu,DEV7201,83.119.57.102,Tiruvottiyur,PMF4733,136,0.066,household,HOUSE_f96cce,0,,household,2026-04-21
ACC0011,Chandran Deshpande,DEV9785,83.119.57.102,Tiruvottiyur,PMF2654,171,0.043,household,HOUSE_f96cce,0,,household,2026-03-17
ACC0012,Ranveer Srinivas,DEV6820,103.7.204.212,Mysore,PMF5374,304,0.062,household,HOUSE_e21067,0,,household,2025-11-04
ACC0013,Kavya Tak,DEV6820,103.7.204.212,Mysore,PMF3803,163,0.052,household,HOUSE_e21067,0,,household,2026-03-25
ACC0014,Anamika Dada,DEV3664,103.7.204.212,Mysore,PMF8573,340,0.043,household,HOUSE_e21067,0,,household,2025-09-29
ACC0015,Irya Savant,DEV6313,72.58.212.13,Latur,PMF6168,324,0.044,household,HOUSE_e1117f,0,,household,2025-10-15
ACC0016,Nicholas Deshpande,DEV6313,72.58.212.13,Latur,PMF6155,157,0.033,household,HOUSE_e1117f,0,,household,2026-03-31
ACC0017,Ekta Nadig,DEV1916,72.58.212.13,Latur,PMF8517,601,0.029,household,HOUSE_e1117f,0,,household,2025-01-11
ACC0018,Veer Char,DEV6313,72.58.212.13,Latur,PMF9830,232,0.036,household,HOUSE_e1117f,0,,household,2026-01-15
ACC0019,Rayaan Thakur,DEV4593,213.164.80.186,Mathura,PMF9085,231,0.025,household,HOUSE_90d67a,0,,household,2026-01-16
ACC0020,Wyatt Srivastava,DEV7543,213.164.80.186,Mathura,PMF3504,138,0.058,household,HOUSE_90d67a,0,,household,2026-04-19
ACC0021,Harish Arya,DEV4593,213.164.80.186,Mathura,PMF2040,522,0.043,household,HOUSE_90d67a,0,,household,2025-03-31
ACC0022,Jason Kalita,DEV6930,213.164.80.186,Mathura,PMF9669,700,0.035,household,HOUSE_90d67a,0,,household,2024-10-04
ACC0023,Aayush Prakash,DEV9797,206.53.60.151,Parbhani,PMF2827,363,0.038,household,HOUSE_20e05c,0,,household,2025-09-06
ACC0024,Zayyan Rout,DEV9797,206.53.60.151,Parbhani,PMF1053,251,0.077,household,HOUSE_20e05c,0,,household,2025-12-27
